iter	MultiClass
0	1.028283004
1	0.9694681407
2	0.9156565655
3	0.8702005425
4	0.8311297502
5	0.7936048946
6	0.7589659927
7	0.7304533742
8	0.7048795998
9	0.6823334449
10	0.6621860868
11	0.6443779823
12	0.6285171244
13	0.6138624895
14	0.6017317191
15	0.5892022297
16	0.5767738338
17	0.5668215088
18	0.5578404389
19	0.5487627882
20	0.5409132947
21	0.5334187725
22	0.5274157228
23	0.5222745129
24	0.516911769
25	0.5123922121
26	0.5089247621
27	0.5037726476
28	0.499770572
29	0.4959427396
30	0.4916954077
31	0.488422653
32	0.4851451266
33	0.4824044289
34	0.4800013007
35	0.4776663381
36	0.4752640449
37	0.4729809822
38	0.4700439435
39	0.4682151132
40	0.4658903453
41	0.4644638915
42	0.4627567361
43	0.4607191166
44	0.4587335771
45	0.4569452482
46	0.4552873883
47	0.4541291711
48	0.4528878535
49	0.4513258052
50	0.4496059724
51	0.4480367473
52	0.4466403536
53	0.445438573
54	0.44382488
55	0.4423866362
56	0.44112765
57	0.4397336703
58	0.4383454139
59	0.437551618
60	0.4363958141
61	0.435233178
62	0.4341936315
63	0.432984495
64	0.4316020771
65	0.4302807213
66	0.4294008673
67	0.4281646134
68	0.4267393736
69	0.4254386724
70	0.4242384427
71	0.4231622036
72	0.4220722239
73	0.421053222
74	0.420240825
75	0.4190527346
76	0.4177417587
77	0.4167556608
78	0.4157286033
79	0.41453467
80	0.4138265773
81	0.4126589781
82	0.4114588504
83	0.410386818
84	0.4094988765
85	0.4087596461
86	0.4077807633
87	0.4073165162
88	0.4063208045
89	0.4055765633
90	0.4047843001
91	0.4037761215
92	0.4027447921
93	0.4020526741
94	0.4011030338
95	0.4002446675
96	0.3992403632
97	0.3984538012
98	0.3978156535
99	0.3968688276
100	0.3960865785
101	0.3951383002
102	0.394400755
103	0.3936336597
104	0.3928136539
105	0.3919918099
106	0.3915289228
107	0.3903351475
108	0.389494986
109	0.3886851005
110	0.3878978599
111	0.3871133799
112	0.3862662629
113	0.3853601222
114	0.3845878808
115	0.3839034146
116	0.3831231317
117	0.3820396153
118	0.3812758458
119	0.3804246048
120	0.3795805753
121	0.3791217231
122	0.3784360171
123	0.3780145028
124	0.3772181912
125	0.3765834162
126	0.376045939
127	0.3753352772
128	0.3744849889
129	0.3737656174
130	0.3729629501
131	0.3720937926
132	0.3712851058
133	0.3705700061
134	0.3698830822
135	0.3695560662
136	0.3691183471
137	0.3680896261
138	0.3672729653
139	0.3665445806
140	0.3657851148
141	0.3651344168
142	0.3645415967
143	0.3636264032
144	0.3629676293
145	0.3623928771
146	0.3616314404
147	0.3610038533
148	0.3603437358
149	0.3596510136
150	0.3592132848
151	0.3584822414
152	0.3577931236
153	0.3570156896
154	0.3563415693
155	0.3560246027
156	0.3554688284
157	0.3546965415
158	0.3539016846
159	0.3535277997
160	0.3526634561
161	0.3520572464
162	0.3515879277
163	0.3506201027
164	0.3502582426
165	0.3492811605
166	0.3486168676
167	0.3479513686
168	0.3475329489
169	0.3468207026
170	0.3462021165
171	0.3455238887
172	0.344814523
173	0.3440896275
174	0.3435191653
175	0.3427994695
176	0.3423426245
177	0.3417047657
178	0.3408274227
179	0.340321371
180	0.3396213226
181	0.3389466829
182	0.3385723645
183	0.3380180631
184	0.3373415126
185	0.3365022414
186	0.3359561911
187	0.3354427139
188	0.3347903376
189	0.3339051698
190	0.3333923646
191	0.3327226756
192	0.3321950239
193	0.3315336611
194	0.3312387837
195	0.3307410101
196	0.3302416249
197	0.3298705817
198	0.3293343216
199	0.3286525297
200	0.3282634881
201	0.3277242672
202	0.3272337744
203	0.3266150443
204	0.3258881141
205	0.3253675258
206	0.3247688246
207	0.3242423555
208	0.3236263985
209	0.3229228974
210	0.322399686
211	0.3216198573
212	0.3209101237
213	0.3202855972
214	0.3197142373
215	0.3192857997
216	0.3186522956
217	0.3179988839
218	0.3178180611
219	0.3173314498
220	0.3164148045
221	0.3157836494
222	0.3156324726
223	0.3150372825
224	0.3143761067
225	0.3138183203
