iter	Passed	Remaining
0	6	2026
1	14	2151
2	21	2113
3	28	2085
4	36	2096
5	42	2056
6	49	2034
7	55	1997
8	61	1975
9	68	1957
10	74	1940
11	81	1928
12	87	1913
13	94	1907
14	101	1896
15	107	1880
16	114	1875
17	120	1862
18	127	1851
19	133	1847
20	140	1835
21	146	1830
22	153	1823
23	160	1814
24	166	1805
25	173	1796
26	179	1791
27	186	1784
28	193	1777
29	199	1769
30	205	1756
31	212	1751
32	218	1742
33	224	1731
34	230	1722
35	237	1713
36	243	1704
37	250	1700
38	257	1694
39	263	1688
40	269	1678
41	276	1673
42	283	1667
43	289	1658
44	296	1653
45	303	1647
46	309	1640
47	315	1631
48	322	1624
49	328	1616
50	334	1607
51	341	1601
52	347	1595
53	353	1585
54	360	1578
55	366	1569
56	372	1561
57	378	1552
58	384	1544
59	390	1536
60	397	1529
61	402	1520
62	408	1511
63	415	1504
64	421	1496
65	427	1489
66	433	1481
67	439	1472
68	445	1465
69	451	1458
70	457	1450
71	463	1442
72	469	1434
73	475	1427
74	481	1419
75	488	1413
76	494	1407
77	501	1400
78	507	1393
79	513	1386
80	519	1378
81	525	1371
82	531	1364
83	537	1357
84	543	1349
85	549	1341
86	556	1335
87	562	1329
88	569	1323
89	575	1316
90	581	1309
91	587	1301
92	593	1295
93	599	1288
94	605	1281
95	611	1274
96	617	1266
97	623	1259
98	629	1252
99	635	1245
100	641	1238
101	647	1231
102	654	1225
103	660	1219
104	665	1211
105	671	1203
106	677	1196
107	683	1189
108	689	1182
109	694	1174
110	700	1167
111	706	1161
112	712	1154
113	718	1147
114	724	1140
115	730	1133
116	736	1126
117	742	1120
118	748	1113
119	755	1107
120	760	1100
121	767	1094
122	772	1087
123	778	1080
124	784	1073
125	790	1066
126	796	1060
127	803	1054
128	809	1047
129	815	1040
130	821	1034
131	826	1027
132	833	1021
133	838	1013
134	844	1007
135	850	1000
136	856	994
137	862	987
138	868	981
139	874	974
140	880	968
141	887	962
142	893	955
143	899	949
144	905	943
145	911	936
146	918	930
147	923	923
148	929	917
149	936	911
150	941	904
151	947	897
152	953	890
153	959	884
154	964	877
155	970	871
156	976	864
157	982	857
158	988	851
159	995	845
160	1003	841
161	1010	835
162	1018	831
163	1026	826
164	1034	821
165	1041	815
166	1048	810
167	1056	804
168	1063	798
169	1070	793
170	1076	786
171	1082	780
172	1089	774
173	1094	767
174	1101	761
175	1107	755
176	1113	748
177	1120	743
178	1127	736
179	1133	730
180	1139	723
181	1145	717
182	1151	710
183	1157	704
184	1164	698
185	1171	692
186	1177	686
187	1184	680
188	1190	674
189	1197	667
190	1203	661
191	1210	655
192	1216	649
193	1223	643
194	1230	637
195	1235	630
196	1241	624
197	1248	617
198	1255	611
199	1261	605
200	1268	599
201	1275	593
202	1281	587
203	1288	581
204	1295	574
205	1300	568
206	1306	561
207	1313	555
208	1319	549
209	1325	542
210	1331	536
211	1337	530
212	1344	523
213	1351	517
214	1358	511
215	1364	505
216	1370	498
217	1377	492
218	1383	486
219	1390	480
220	1396	473
221	1402	467
222	1409	461
223	1415	455
224	1422	448
225	1428	442
226	1435	436
227	1441	429
228	1447	423
229	1453	417
230	1459	410
231	1466	404
232	1472	398
233	1479	391
234	1484	385
235	1490	379
236	1497	372
237	1503	366
238	1510	360
239	1517	354
240	1524	347
241	1531	341
242	1538	335
243	1545	329
244	1552	323
245	1559	316
246	1566	310
247	1571	304
248	1579	298
249	1586	291
250	1594	285
251	1601	279
252	1610	273
253	1617	267
254	1627	261
255	1638	256
256	1647	249
257	1655	243
258	1662	237
259	1669	231
260	1677	224
261	1685	218
262	1693	212
263	1700	206
264	1706	199
265	1715	193
266	1724	187
267	1733	181
268	1741	174
269	1747	168
270	1756	162
271	1764	155
272	1771	149
273	1778	142
274	1785	136
275	1792	129
276	1799	123
277	1806	116
278	1813	110
279	1819	103
280	1826	97
281	1833	91
282	1839	84
283	1846	78
284	1853	71
285	1860	65
286	1866	58
287	1873	52
288	1879	45
289	1885	39
290	1891	32
291	1898	26
292	1905	19
293	1911	13
294	1918	6
295	1925	0
